Collection_ID,Slide_ID,Gen,Clade,Morph,a3_length,a4_length,a5_length,abdomen_width,antenna_length,body_length,body_width,cauda_length,cauda_width,compound_eye_width,forewing_length,hindwing_length,metafemur_length,metatarsomere_length,metatibia_length,n_a3_sensoria,n_a3_setae,n_a4_sensoria,n_a4_setae,n_a5_sensoria,n_a5_setae,n_antennal_segments,n_apical_antenna_setae,n_apical_head_setae,n_bilobed_anal_plate_setae,n_cauda_long_setae,n_cauda_short_setae,n_genital_plate_setae,n_hindwing_hooklets,n_metacoxa_setae,n_metafemur_setae,n_metatarsus_1_setae,n_metatarsus_2_setae,n_metatibia_apical_setae,n_metatibia_setae,n_pedicel_setae,n_rostrum_2_setae,n_scape_setae,n_urs_secondary_setae,pedicel_length,protibia_length,rostrum_length,thorax_width,urs_length,urs_width
"F+H: 8145c; SR, IL",Frison + Hotts: 8145c,2,NA,alate,0.120819125,0.107589148,NA,0.81067177,NA,1.758437917,NA,0.029443244,0.05443,0.070033645,2.249758312,1.438854844,NA,NA,NA,25,NA,13,NA,10,NA,NA,3,NA,14,2,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208938464,NA,NA,0.703149672,NA,NA
"F+H: 8145d; SR, IL",Frison + Hotts: 8145d,2,NA,alate,0.24670498,0.122791969,0.085867597,0.873126662,NA,1.843783525,NA,0.035433598,0.052606435,0.117118708,2.404850174,1.669887037,NA,0.080798116,0.445478074,35,NA,13,NA,9,NA,NA,3,NA,14,2,8,NA,2,NA,NA,NA,NA,6,42,NA,NA,NA,NA,0.064843057,NA,NA,0.728594419,NA,NA
"F+H: 8145e; SR, IL",Frison + Hotts: 8145e,2,NA,alate,0.259281517,0.12476934,0.100789746,0.882511824,NA,1.882501396,NA,0.038100476,0.051832274,0.117118708,2.39745408,1.46863421,NA,NA,NA,26,NA,12,NA,9,NA,NA,2,NA,13,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05329865,NA,NA,0.744606269,NA,NA
23-123a,II-N-22,2,N,alate,0.2928286,0.142747145,0.123866331,NA,NA,NA,NA,0.042064982,0.04446554,0.152656747,2.683258956,1.698591257,0.404284856,0.10960705,0.49844082,23,NA,12,NA,10,NA,NA,4,NA,17,2,8,26,2,5,19,3,NA,6,44,NA,NA,NA,6,0.043963908,0.345565054,0.334141299,NA,0.077098175,0.049102019
23-123b,II-N-23,2,N,alate,0.269277199,0.130488417,0.108708815,0.98728146,NA,2.032829387,NA,0.036567161,0.03781099,0.153903639,2.559449903,1.545171267,0.397565429,0.113102232,0.479399784,26,NA,10,NA,8,NA,NA,5,NA,16,2,6,26,2,6,24,3,NA,6,40,NA,NA,NA,6,0.045289606,0.337232771,0.309580035,0.952347966,0.077254326,0.045695535
23-123c,II-N-24,2,N,alate,0.269381049,0.134017424,0.101613993,1.163269463,NA,2.359483919,NA,0.041372569,0.053598786,0.126986499,2.611773315,1.507342534,0.406501842,0.107754062,0.483555638,26,NA,12,NA,8,NA,NA,4,NA,17,2,8,24,2,7,17,3,NA,6,36,NA,NA,NA,NA,0.042769605,0.312639996,NA,0.96151052,0.073733852,0.041911621
23-13a,II-N-01,2,N,alate,0.293845228,0.175296815,0.123845948,1.072810303,NA,1.928120925,NA,0.046013704,0.044158324,0.136796855,2.431556592,1.457788256,0.378093433,0.102417068,0.465366264,32,NA,27,NA,13,NA,NA,5,NA,14,2,6,28,2,4,14,2,NA,6,32,NA,NA,NA,4,0.049719897,0.313382171,0.291560192,0.795910802,0.066431426,0.038620335
23-13b,II-N-02,2,N,alate,0.274657714,0.154413582,0.112178142,0.920705944,NA,1.739472874,NA,0.03986413,0.045652865,0.116894882,2.366644379,1.494656686,0.287765533,0.088087604,0.340446502,32,NA,13,NA,12,NA,NA,4,NA,14,2,5,27,2,5,10,2,NA,5,32,NA,NA,NA,3,0.054214972,0.315475445,0.253138794,0.785821499,0.074072836,0.035863233
23-13c,II-N-03,2,N,alate,0.281181358,0.167523147,0.132471811,0.721520287,NA,1.903276806,NA,0.037762803,0.04132195,0.142051097,2.481727878,1.57817244,0.361696739,0.101179971,0.470443066,27,NA,16,NA,11,NA,NA,3,NA,14,2,6,23,2,5,12,2,NA,5,34,NA,NA,NA,4,0.055440011,0.325388821,0.354624149,0.818770964,0.070477694,0.047415816
23-13d,II-N-04,2,N,alate,0.267350599,0.146208171,0.123438113,0.754724832,NA,1.648446605,NA,0.041685029,0.047233003,0.122027074,2.244330755,1.457135218,0.338575894,0.078829476,0.466957654,31,NA,15,NA,12,NA,NA,3,NA,15,2,7,24,2,4,12,2,NA,3,33,NA,NA,NA,NA,0.043285913,0.308280481,0.374067081,0.743295936,0.070548679,0.056529119
23-13e,II-N-05,2,N,alate,0.271976337,0.164625381,0.128076781,0.923043678,NA,1.896950191,NA,0.043324332,0.051095686,0.128930021,2.3523474,1.371662874,0.375921842,0.102831433,0.480119396,26,NA,15,NA,11,NA,NA,3,NA,13,2,7,26,2,6,12,2,NA,5,33,NA,NA,NA,NA,0.045347821,0.326783506,0.343544783,0.862698473,0.07010634,0.045014594
23-13f,II-N-19,2,N,alate,0.284068382,0.156300515,0.124610268,1.00302846,NA,1.820898533,NA,0.04267354,0.046979909,0.134548174,2.341673609,1.457177964,0.358882242,0.103547847,0.469245145,34,NA,15,NA,14,NA,NA,5,NA,16,2,5,24,2,4,16,3,NA,6,36,NA,NA,NA,6,0.049546321,0.322332546,0.384789098,0.781061767,0.07565628,0.039108893
23-13g,II-N-20,2,N,alate,0.307763771,0.16599835,0.144161118,NA,NA,1.744631428,NA,0.044401641,0.038344486,0.142447764,2.419938544,1.425468838,0.366613321,0.104873056,0.468328374,34,NA,16,NA,13,NA,NA,4,NA,15,2,6,27,2,4,18,3,NA,6,35,NA,NA,NA,NA,0.053708805,0.33296766,0.309158652,0.794007203,0.075652894,0.046338874
23-13h,II-N-21,2,N,alate,0.270513897,0.148593534,0.137344806,NA,NA,NA,NA,0.046613517,0.048803424,0.14228681,2.571028515,1.541576329,0.37632244,0.110058958,0.466113945,30,NA,13,NA,11,NA,NA,5,NA,16,2,7,25,2,5,14,3,NA,6,35,NA,NA,NA,NA,0.046075804,0.322157312,0.346168431,0.820447998,0.067179862,0.050657438
24-69a,II-N-06,2,N,alate,0.313458737,0.151679135,0.136216712,NA,NA,1.847703606,NA,0.034273956,0.056221134,0.162957164,2.458282042,1.55127149,0.41929521,0.11162808,0.521998767,28,NA,13,NA,12,NA,NA,5,NA,16,2,7,28,2,4,21,3,NA,6,48,NA,NA,NA,4,0.044843944,0.342753719,0.33222816,0.83256734,0.082615038,0.068609589
24-69b,II-N-07,2,N,alate,0.307690165,0.150708003,0.132826781,1.135847775,NA,1.9028748,NA,0.047745893,0.05601207,0.153017199,2.46112551,1.484433,0.32672055,0.095542807,0.354995353,33,NA,14,NA,12,NA,NA,4,NA,15,2,7,24,2,3,19,3,NA,6,42,NA,NA,NA,4,0.049926215,0.323696477,0.328748038,0.816096211,0.078507777,0.052245344
24-69c,II-N-08,2,N,alate,0.31504869,0.131649813,0.135232225,0.76607257,NA,2.066811046,NA,0.046577803,0.057732806,0.161100185,2.521639948,1.618856329,0.422607472,0.109570419,0.525537663,32,NA,13,NA,13,NA,NA,4,NA,16,2,6,27,2,5,30,3,NA,6,47,NA,NA,NA,6,0.049881819,0.348062783,NA,0.859313596,0.080095953,0.040500078
24-69d,II-N-09,2,N,alate,0.309299957,0.156704034,0.141393621,0.810207217,NA,1.875487115,NA,0.046137781,0.059207834,0.161437961,2.574449322,1.450234342,0.408710787,0.109900797,0.512904047,36,NA,15,NA,14,NA,NA,4,NA,17,2,6,26,2,6,22,3,NA,6,42,NA,NA,NA,NA,0.050536336,0.349956157,NA,0.878778975,NA,NA
24-70a,II-N-10,2,N,alate,0.312332477,0.150004698,0.14354998,0.540217374,NA,1.832007057,NA,0.047449379,0.053924162,0.15235608,2.484890864,1.563799814,0.416232421,0.115239547,0.487421699,43,NA,16,NA,14,NA,NA,4,NA,16,2,6,28,2,4,32,3,NA,6,50,NA,NA,NA,6,0.049963545,0.330513092,0.323234773,0.841868812,0.076967507,0.051140307
24-70b,II-N-11,2,N,alate,0.294373079,0.1542723,0.148849576,1.134531823,NA,2.049315637,NA,0.044736822,0.054129753,0.163698406,2.518831764,1.544335491,0.403135333,0.114937484,0.49543445,34,NA,15,NA,15,NA,NA,4,NA,17,2,7,27,2,5,26,3,NA,6,49,NA,NA,NA,6,0.052799693,0.329537784,0.349963889,0.81514301,0.079223491,0.044073225
24-70c,II-N-12,2,N,alate,0.293525162,0.159308515,0.152860202,NA,NA,2.099266292,NA,0.03834986,0.04782268,0.150728287,2.50829781,1.634701312,0.415996876,0.112845566,0.496624435,32,NA,16,NA,16,NA,NA,5,NA,16,2,5,25,2,3,29,2,NA,6,53,NA,NA,NA,NA,0.054246579,0.33136965,NA,0.883602891,0.050932977,0.031913359
24-71a,II-N-25,2,N,alate,0.281499303,0.143644438,0.124740956,1.031829255,NA,2.09679655,NA,0.048854612,0.060919702,0.134219753,2.412323568,1.460807452,0.409167608,0.104476658,0.49403618,31,NA,15,NA,13,NA,NA,5,NA,17,2,9,26,2,5,30,3,NA,6,46,NA,NA,NA,5,0.046915814,0.313817046,0.34712799,0.852632019,0.079009342,0.060037
24-71b,II-N-26,2,N,alate,0.28412617,0.153432859,0.14277332,1.05775946,NA,2.009976569,NA,0.056438112,0.060759681,0.157307975,2.512086339,1.600001308,0.438960871,0.108850254,0.50241513,32,NA,14,NA,12,NA,NA,5,NA,16,2,7,30,2,5,29,3,NA,6,43,NA,NA,NA,5,0.048026722,0.3314638,0.346755657,0.895120372,0.082333262,0.05430084
24-71c,II-N-27,2,N,alate,0.28253519,0.152527084,0.138312055,1.136420361,NA,1.940999027,NA,0.050381175,0.056987631,0.159338372,2.561109434,1.506080331,0.42238798,0.103065162,0.48530278,28,NA,14,NA,12,NA,NA,5,NA,16,2,8,27,2,5,27,3,NA,6,42,NA,NA,NA,6,0.048341367,0.319834572,0.394775535,0.878778975,0.082483921,0.044357168
24-71d,II-N-28,2,N,alate,0.276666794,0.141214816,0.129440872,0.920972269,NA,1.899215247,NA,0.053475119,0.059416847,0.165912891,2.45888244,1.405884244,0.408982438,0.105205055,0.483664304,28,NA,13,NA,13,NA,NA,5,NA,17,2,8,22,2,5,27,3,NA,6,43,NA,NA,NA,6,0.044074556,0.313005895,0.362972545,0.810733648,0.07912579,0.041582103
24-71e,II-N-29,2,N,alate,0.288121804,0.146697197,0.136628332,0.765134444,NA,2.173138365,NA,NA,NA,0.169673526,2.506663933,1.680372933,0.41427142,0.101984485,0.488573494,30,NA,15,NA,12,NA,NA,5,NA,NA,NA,NA,30,2,5,31,3,NA,6,44,NA,NA,NA,6,0.043779541,0.330966707,0.401512535,0.877609741,0.084861473,0.049188114
24-74a,II-N-13,2,N,alate,0.313892711,0.164786156,0.139988274,1.259609109,NA,2.39045779,NA,0.053445886,0.059561014,0.153129434,2.6872344,1.817114664,0.409259607,0.104114683,0.514981339,38,NA,18,NA,13,NA,NA,5,NA,20,2,6,27,2,5,17,2,NA,6,48,NA,NA,NA,6,0.057514789,0.334097054,0.377153776,0.905540972,0.081016932,0.051041732
24-74b,II-N-14,2,N,alate,0.303123366,0.165585225,0.120298455,1.373798169,NA,2.414001034,NA,0.052350499,0.057221493,0.152500269,2.748793167,1.653401034,0.408681315,0.114860681,0.525526966,30,NA,15,NA,10,NA,NA,5,NA,18,2,8,29,2,6,20,3,NA,6,44,NA,NA,NA,6,0.056630005,0.327507416,0.354808266,0.931808614,0.082275,0.044504024
24-74c,II-N-15,2,N,alate,0.326588818,0.163816985,0.143607394,1.239213125,NA,2.29644386,NA,0.052631809,0.066686512,0.132596766,2.716643446,1.56853518,0.405594748,0.095290986,0.522283471,33,NA,16,NA,13,NA,NA,5,NA,19,2,9,30,2,6,24,3,NA,6,44,NA,NA,NA,NA,0.064980229,0.326714417,NA,0.915705659,NA,NA
24-74d,II-N-16,2,N,alate,0.322592578,0.167630377,0.142349735,1.245813101,NA,2.291404536,NA,0.053193356,0.061268773,0.147144315,2.618504178,1.691619577,0.409055537,0.108868776,0.537180572,36,NA,17,NA,13,NA,NA,5,NA,20,2,8,27,2,5,20,3,NA,6,46,NA,NA,NA,6,0.052346983,0.32900138,NA,0.924028761,0.068279709,0.043950542
24-74e,II-N-17,2,N,alate,0.327609709,0.142783575,0.132610791,1.509823838,NA,2.452362546,NA,0.048873239,0.061091557,0.151342201,2.725275704,1.702811837,0.426284008,0.116001211,0.534592474,36,NA,17,NA,12,NA,NA,4,NA,18,2,7,29,2,7,17,2,NA,7,43,NA,NA,NA,NA,0.060395502,0.353337701,0.210854763,0.971950848,0.071937192,0.035028587
24-74f,II-N-18,2,N,alate,0.328968987,0.1649592,0.140804394,NA,NA,2.420495645,NA,0.051878388,0.058859017,0.164240855,2.646632085,1.790934839,0.413905706,0.110059534,0.529590256,38,NA,16,NA,15,NA,NA,5,NA,23,2,6,28,2,5,21,3,NA,6,48,NA,NA,NA,5,0.053841789,0.342610523,NA,0.932462988,0.070170298,0.055517116
23-02a,IV-H-01,4,H,aptera,0.107624893,NA,NA,NA,NA,1.188796851,0.888248857,0.031743783,0.063218834,NA,NA,NA,0.203489637,0.052344345,0.220248681,NA,1,NA,NA,NA,NA,3,4,9,11,2,7,15,NA,4,7,NA,4,4,8,1,5,1,6,0.042428049,NA,0.280311081,NA,0.063284254,0.043355757
23-02b,IV-H-02,4,H,aptera,0.061603196,0.055659355,NA,NA,NA,1.457914366,1.236460437,0.035075309,0.070599258,NA,NA,NA,0.224871643,0.053021167,0.234351441,NA,0,NA,NA,NA,NA,3,4,16,11,2,10,17,NA,4,5,NA,4,4,5,2,2,1,4,0.039990938,NA,0.273547649,NA,0.057519369,0.033950893
23-02c,IV-H-03a,4,H,aptera,0.071416312,0.029533497,NA,NA,NA,1.442393674,0.978313872,0.043126066,0.067877658,NA,NA,NA,0.226834223,0.059356253,0.239438455,NA,0,NA,NA,NA,NA,3,3,9,14,2,5,15,NA,4,6,NA,5,5,6,2,4,1,4,0.050023435,NA,0.315993846,NA,0.068433865,0.04015588
23-02d,IV-H-03b,4,H,aptera,0.058960551,0.040735067,NA,NA,NA,1.089485428,0.935571297,0.027778784,0.061919095,NA,NA,NA,0.214561041,0.056615609,0.237023632,NA,1,NA,NA,NA,NA,3,3,13,14,2,3,13,NA,4,7,NA,5,3,6,2,4,1,4,0.046420233,NA,0.314846859,NA,0.06724656,0.032225951
23-02e,IV-H-03c,4,H,aptera,0.066026323,0.027966895,NA,NA,NA,1.418557236,1.152649101,0.040824994,0.070578362,NA,NA,NA,0.233464355,0.054708614,0.225337511,NA,0,NA,NA,NA,NA,3,3,8,11,2,9,18,NA,3,6,NA,4,3,7,1,2,2,4,0.039175518,NA,0.261649412,NA,0.067728636,0.035095924
23-02f,IV-H-03d,4,H,aptera,0.055156577,0.056058841,NA,NA,NA,1.367947099,1.204961296,0.031515336,0.068224008,NA,NA,NA,0.222054733,0.063620254,0.24571916,NA,0,NA,NA,NA,NA,3,4,14,12,2,5,21,NA,4,4,NA,3,3,6,1,NA,1,3,0.041914144,NA,0.33084766,NA,0.059883523,0.045919032
23-02g,IV-H-03e,4,H,aptera,0.104484715,NA,NA,NA,NA,1.516561183,1.099747005,0.037390192,0.068130229,NA,NA,NA,0.224991923,0.058900979,0.243398558,NA,NA,NA,NA,NA,NA,3,3,14,14,2,6,19,NA,5,5,NA,6,3,7,2,4,2,5,0.042980028,NA,0.299681809,NA,0.054338637,0.042078791
23-03,IV-H-08,4,H,aptera,0.052554654,0.0387928,NA,NA,NA,1.119145967,0.918639381,0.337009474,0.034100452,NA,NA,NA,0.224540414,0.06450404,0.256353876,NA,0,NA,NA,NA,NA,3,3,NA,12,2,7,15,NA,4,4,NA,5,5,4,2,NA,3,4,0.053165375,NA,0.072462149,NA,0.068793324,0.037020666
23-04a,IV-H-09,4,H,aptera,0.059243289,0.062399179,NA,NA,NA,1.546476097,1.26875876,0.037922739,0.081105922,NA,NA,NA,0.22991941,0.057935005,0.252003193,NA,0,NA,NA,NA,NA,3,3,8,10,2,10,19,NA,4,5,NA,2,5,6,3,4,3,4,0.045150029,NA,0.261366359,NA,0.067647081,0.062426374
23-04b,IV-H-12,4,H,aptera,0.050460809,0.051780459,NA,NA,NA,1.58021434,1.249772908,0.05434005,0.0746155,NA,NA,NA,0.219361115,0.061220381,0.24081054,NA,0,NA,NA,NA,NA,3,3,13,10,2,5,19,NA,3,5,NA,6,6,4,2,NA,2,NA,0.053448467,NA,NA,NA,0.064076291,0.038984127
23-04c,IV-H-13,4,H,aptera,0.062362907,0.040300096,NA,NA,NA,1.677940413,1.249772908,0.047772945,0.071267833,NA,NA,NA,0.218111734,0.056750965,0.241210613,NA,0,NA,NA,NA,NA,3,3,7,11,2,6,18,NA,4,5,NA,6,5,5,2,6,1,2,0.040946757,NA,0.312779935,NA,0.066054838,0.041584093
23-04d,IV-H-14,4,H,aptera,0.06740175,0.038251283,NA,NA,NA,1.541298981,1.327938645,0.043442645,0.0668246,NA,NA,NA,0.218847559,0.061222133,0.240225423,NA,1,NA,NA,NA,NA,3,3,12,14,2,5,18,NA,4,5,NA,5,5,3,2,6,2,NA,0.041454544,NA,0.330343382,NA,0.06601239,0.041668907
23-05a,IV-H-04,4,H,aptera,0.052537015,0.052648263,NA,NA,NA,NA,1.436138621,0.056159277,0.067689336,NA,NA,NA,0.227200471,0.054470868,0.24724353,NA,0,NA,NA,NA,NA,4,4,13,16,2,7,14,NA,4,4,NA,6,5,6,0,6,2,6,0.045873381,NA,0.273389963,NA,0.070819424,0.034144175
23-05b,IV-H-05,4,H,aptera,0.049751416,0.056450041,NA,NA,NA,1.485277513,1.231976563,0.047797659,0.06379165,NA,NA,NA,0.235604955,0.059406378,0.248566755,NA,NA,NA,NA,NA,NA,3,3,9,15,2,7,13,NA,3,5,NA,6,4,8,2,6,2,6,0.043234299,NA,0.297394561,NA,0.07105092,0.047885147
23-10a,IV-H-10,4,H,aptera,0.058559271,0.050401006,NA,NA,NA,1.42841825,1.161195537,0.034969552,0.061998744,NA,NA,NA,0.201139224,0.056475902,0.218019537,NA,0,NA,NA,NA,NA,3,3,10,12,2,8,15,NA,3,5,NA,5,5,3,2,5,2,6,0.040420714,NA,0.321463719,NA,0.071511666,0.051062054
23-10b,IV-H-11,4,H,aptera,0.05637007,0.053145109,NA,NA,NA,1.47237516,0.97464575,0.04976532,0.067483087,NA,NA,NA,0.23056061,0.059030376,0.248606578,NA,0,NA,NA,NA,NA,3,3,9,12,2,7,16,NA,5,6,NA,5,6,5,2,5,2,4,0.041809821,NA,NA,NA,0.063709714,0.037709054
23-12a,IV-H-06,4,H,aptera,0.069741209,0.025388642,NA,NA,NA,1.258881103,1.113088771,0.025516585,0.060828161,NA,NA,NA,0.192858337,0.05016901,0.212609429,NA,0,NA,NA,NA,NA,3,3,10,12,2,6,14,NA,4,5,NA,5,4,6,1,NA,2,4,0.040263847,NA,0.234307744,NA,0.051127279,0.039103592
23-12b,IV-H-07,4,H,aptera,0.051415022,0.05440976,NA,NA,NA,1.36057647,1.155663006,0.036694356,0.059715897,NA,NA,NA,0.195508828,0.052924197,0.216180624,NA,0,NA,NA,NA,NA,3,3,10,13,2,6,11,NA,3,6,NA,6,3,8,1,2,2,4,0.044804044,NA,0.245207314,NA,0.05299737,0.047921525
23-01a,IV-L-03,4,L,aptera,0.056119405,0.064083458,NA,NA,NA,1.261553338,0.900324484,0.046565609,0.077844086,NA,NA,NA,0.213708164,0.047155485,0.248243915,NA,0,NA,NA,NA,NA,4,4,10,19,2,6,21,NA,3,8,NA,3,4,9,2,6,2,6,0.046892996,NA,0.341778545,NA,0.068722703,0.03650186
23-01b,IV-L-04,4,L,aptera,0.056215608,0.041839431,NA,NA,NA,1.304604297,1.008016211,0.04289112,0.065252538,NA,NA,NA,0.231927439,0.058525622,0.240918264,NA,NA,NA,NA,NA,NA,3,4,10,13,2,9,17,NA,4,6,NA,5,4,7,NA,6,NA,6,0.044219102,NA,0.289852035,NA,0.064531727,0.037413531
23-01c,IV-L-05,4,L,aptera,0.04923853,0.05436219,NA,NA,NA,1.25588311,0.9660877,0.03863038,0.06558262,NA,NA,NA,0.21766095,0.05254244,0.22841107,NA,0,NA,NA,NA,NA,3,5,15,12,2,6,18,NA,4,5,NA,5,5,6,1,6,2,5,0.03388624,NA,0.28077058,NA,0.0623604,0.04532074
23-01d,IV-L-06,4,L,aptera,0.053911941,0.052145089,NA,NA,NA,1.229191125,0.858385938,0.284864536,0.042843082,NA,NA,NA,0.226413201,0.063996633,0.236664027,NA,0,NA,NA,NA,NA,4,3,9,12,2,7,21,NA,5,6,NA,5,4,6,1,NA,2,NA,0.041051028,NA,0.063934479,NA,0.062397413,0.033096272
23-01e,IV-L-07,4,L,aptera,0.060552689,0.037785136,NA,NA,NA,1.291710658,1.391716733,0.039912985,0.067692472,NA,NA,NA,0.22023257,0.052369789,0.237388808,NA,0,NA,NA,NA,NA,3,3,9,14,2,6,17,NA,6,7,NA,5,5,5,2,6,2,5,0.047249267,NA,0.303505049,NA,0.066397744,0.039422021
23-01f,IV-L-08,4,L,aptera,0.056762777,0.048717578,NA,NA,NA,1.404483581,1.109109534,0.042980345,0.069611942,NA,NA,NA,0.226555167,0.055969327,0.229723514,NA,0,NA,NA,NA,NA,3,3,8,13,2,9,16,NA,4,5,NA,5,5,8,1,NA,2,4,0.04196503,NA,0.318994454,NA,0.065952563,0.048475595
23-01g,IV-L-09,4,L,aptera,0.055206818,0.053758939,NA,NA,NA,1.259982116,0.932755376,0.04428718,0.069150294,NA,NA,NA,0.223439149,0.068786214,0.25687607,NA,0,NA,NA,NA,NA,3,3,9,16,2,10,22,NA,6,6,NA,4,5,6,1,6,1,NA,0.061892379,NA,0.341848475,NA,0.065963658,0.04656563
23-01h,IV-L-10,4,L,aptera,0.053633655,0.043863225,NA,NA,NA,1.147487847,0.793530213,0.0267348,0.059545989,NA,NA,NA,0.213667665,0.05012201,0.211122578,NA,NA,NA,NA,NA,NA,3,3,10,11,2,9,15,NA,5,8,NA,5,5,4,NA,NA,NA,NA,0.040655306,NA,0.268660585,NA,0.0712129,0.040039769
25-70,IV-L-11,4,L,aptera,0.05070923,0.04719471,NA,NA,NA,1.2829455,0.85682019,0.04750608,0.07282389,NA,NA,NA,0.26253501,0.06273178,0.27412247,NA,0,NA,NA,NA,NA,3,NA,10,15,2,8,21,NA,5,4,NA,4,6,7,2,NA,2,NA,0.04646288,NA,NA,NA,0.06960714,0.04158798
99-57a,IV-L-01,4,L,aptera,0.054389247,0.064243067,NA,NA,NA,1.792378985,1.373514787,0.045732283,0.075403471,NA,NA,NA,0.257247351,0.07230886,0.257107808,NA,NA,NA,NA,NA,NA,4,4,11,15,2,6,18,NA,4,4,NA,2,5,7,2,6,2,6,0.049612757,NA,0.336039661,NA,0.080430068,0.05168083
99-57b,IV-L-02,4,L,aptera,0.053400558,0.064900919,NA,NA,NA,1.436939516,1.62090847,0.360565381,0.051615519,NA,NA,NA,0.26858133,0.067331833,0.249043768,NA,2,NA,NA,NA,NA,3,5,13,13,2,7,19,NA,5,6,NA,5,4,9,2,NA,2,4,0.049275349,NA,0.081552107,NA,0.075356694,0.03648959
25-71a,IV-N-02,4,N,aptera,0.059153185,0.047060907,NA,NA,NA,1.681840257,1.390210197,0.051851899,0.084512472,NA,NA,NA,0.21898282,0.060273569,0.24344391,NA,0,NA,NA,NA,NA,3,4,9,16,2,8,15,NA,6,3,NA,4,6,7,2,NA,2,6,0.046982575,NA,0.311434623,NA,0.073863131,0.059416421
25-71b,IV-N-03,4,N,aptera,0.059090113,0.052632428,NA,NA,NA,1.513904814,1.144777918,0.049662207,0.097062892,NA,NA,NA,0.248885639,0.07295491,0.270475243,NA,0,NA,NA,NA,NA,3,4,8,17,2,10,21,NA,6,8,NA,8,6,10,2,NA,2,6,0.039652423,NA,0.304596268,NA,0.083947947,0.063901213
25-71c,IV-N-04,4,N,aptera,0.055142727,0.045277106,NA,NA,NA,1.765060483,1.571416808,0.059867073,0.086968838,NA,NA,NA,0.234227237,0.05258767,0.256189753,NA,0,NA,NA,NA,NA,3,4,11,16,2,10,16,NA,6,7,NA,7,6,6,2,6,2,6,0.050258745,NA,0.330171671,NA,0.07895611,0.049558143
25-71d,IV-N-05,4,N,aptera,0.067504107,0.048573945,NA,NA,NA,1.766609176,1.403281768,0.073023257,0.092509954,NA,NA,NA,0.258336363,0.073847097,0.275815075,NA,0,NA,NA,NA,NA,3,NA,12,17,2,10,18,NA,5,6,NA,5,5,9,2,6,2,6,0.041978475,NA,0.378366752,NA,0.080147351,0.056909677
25-71e,IV-N-06,4,N,aptera,0.04866312,0.047802715,NA,NA,NA,1.57075613,1.244246156,0.050719333,0.080149507,NA,NA,NA,0.216234508,0.049469671,0.235664906,NA,0,NA,NA,NA,NA,3,3,11,14,2,7,18,NA,6,5,NA,6,5,8,2,NA,2,6,0.046603774,NA,NA,NA,0.076989108,0.050233661
25-71f,IV-N-07,4,N,aptera,0.06108488,0.05397921,NA,NA,NA,1.77862239,1.40907575,0.05788188,0.09178347,NA,NA,NA,0.2758581,0.06263371,0.29552056,NA,1,NA,NA,NA,NA,4,5,17,17,2,9,22,NA,6,7,NA,7,5,10,2,6,2,6,0.05265538,NA,NA,NA,0.07687862,0.04350001
25-73a,IV-N-08,4,N,aptera,0.045585166,0.046090585,NA,NA,NA,1.682650072,1.398189614,0.048302646,0.071573431,NA,NA,NA,0.219270828,0.060237252,0.245976168,NA,0,NA,NA,NA,NA,3,4,10,15,2,7,15,NA,5,7,NA,5,6,7,2,NA,2,6,0.040389518,NA,0.274061525,NA,0.070015407,0.056176667
25-73b,IV-N-09,4,N,aptera,0.056280729,0.049749317,NA,NA,NA,1.506731757,1.416933687,0.044777081,0.072463887,NA,NA,NA,0.228525849,0.060674143,0.243123064,NA,1,NA,NA,NA,NA,3,4,10,14,2,8,18,NA,6,8,NA,5,6,9,2,6,2,5,0.04180587,NA,NA,NA,0.068521984,0.037194212
25-73c,IV-N-10,4,N,aptera,0.053781826,0.045864506,NA,NA,NA,1.5451021,1.366792468,0.04356697,0.075761843,NA,NA,NA,0.234964105,0.06238278,0.248319404,NA,1,NA,NA,NA,NA,3,4,10,15,2,7,18,NA,6,7,NA,7,6,7,2,6,2,5,0.045089823,NA,0.296834223,NA,0.068660458,0.048087985
25-73d,IV-N-11,4,N,aptera,0.054789084,0.051497319,NA,NA,NA,1.758330286,1.412068347,0.049842288,0.069535287,NA,NA,NA,0.234273729,0.072637031,0.256240706,NA,1,NA,NA,NA,NA,3,4,9,14,2,7,18,NA,5,7,NA,8,6,9,2,NA,2,5,0.04134746,NA,NA,NA,0.071908361,0.047972074
25-73e,IV-N-12,4,N,aptera,0.058879577,0.048739816,NA,NA,NA,1.697688405,1.401088814,0.056873777,0.076215563,NA,NA,NA,0.231025167,0.059890943,0.246556148,NA,1,NA,NA,NA,NA,3,4,11,15,2,10,20,NA,6,8,NA,6,6,9,2,6,2,5,0.05098987,NA,NA,NA,0.085546883,0.058578036
25-73f,IV-N-13,4,N,aptera,0.05798339,0.04063264,NA,NA,NA,1.69671956,1.22650412,0.04978275,0.07637012,NA,NA,NA,0.22809632,0.06531566,0.24065575,NA,1,NA,NA,NA,NA,3,4,10,14,2,10,18,NA,6,6,NA,7,6,6,2,5,2,6,0.04724388,NA,NA,NA,0.07167302,0.04115756
