Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
24-24,,15vi2024,"USA: AR, Mountain Crest Road","35.76736, -93.86401",Hamamelis vernalis,Gavin Munson
24-25,,15vi2024,"USA: AR, Mountain Crest Road","35.76736, -93.86401",Hamamelis vernalis,Gavin Munson
24-27,,16vi2024,"USA: AR, Smith Creek Trail","35.93422, -93.38231",Hamamelis vernalis,Gavin Munson
24-29,,16vi2024,"USA: AR, Merril Ridge/Stewart Fork","36.07788, -92.30957",Hamamelis vernalis,Gavin Munson
24-30,,16vi2024,"USA: AR, Merril Ridge/Stewart Fork","36.07788, -92.30957",Hamamelis vernalis,Gavin Munson
24-32,,17vi2024,"USA: MO, Iron Co., Taum Sauk Mountain, Ozark Trail","37.56247, -90.73873",Hamamelis vernalis,Gavin Munson
24-33,,17vi2024,"USA: MO, Iron Co., Taum Sauk Mountain, Ozark Trail","37.56247, -90.73873",Hamamelis vernalis,Gavin Munson
24-34,,18vi2024,"USA: MO, Franklin Co., Shaw Nature Reserve, Whitmire Wildflower Garden","38.47655, -90.82398",Hamamelis vernalis,Gavin Munson
24-43,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-47,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61154, -90.25964",Hamamelis virginiana,Gavin Munson
24-50,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-53,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-56,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-63,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-64,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Jenkins Daylily Garden","38.61260, -90.25737",Hamamelis virginiana,Gavin Munson
24-68,,18vi2024,"USA: MO, St. Louis, Missouri Botanical Garden, Woodland Garden","38.61127, -90.25949",Hamamelis virginiana,Gavin Munson
24-69,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-70,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-71,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-72,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-73,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-74,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-75,,27vii2024,"CA: QC, Memphrémagog, Parc National du Mont-Orford","45.33756, -72.1848",Hamamelis virginiana,Carol von Dohlen
24-76,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
24-77,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
24-78,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
24-79,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
24-80,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
24-81,,07x2024,"USA: MN, Ramsey Co., St. Paul, University of Minnesota","44.98746, -93.18396",Hamamelis virginiana,Carol von Dohlen
25-02,,25v2025,"USA: IL, Cook Co., West Chicago","41.63952, -88.06896",Betula nigra,Gavin Munson
25-04,,25v2025,"USA: IL, DuPage Co., Darien","41.73219, -87.97847",Betula populifolia,Gavin Munson
25-06,,26v2025,"USA: IL, LaSalle Co., Ottawa","41.36706, -88.82439",Betula nigra,Gavin Munson
25-07,,26v2025,"USA: IL, LaSalle Co., Ottawa","41.36457, -88.83949",Betula populifolia,Gavin Munson
25-08,,27v2025,"USA: IA, Scott Co., Pleasant Valley Township","41.54851, -90.44236",Betula nigra,Gavin Munson
25-09,,27v2025,"USA: IA, Scott Co., Pleasant Valley Township","41.55548, -90.43416",Betula nigra,Gavin Munson
25-10,,27v2025,"USA: IL, Rock Island Co., Rock Island","41.50454, -90.55144",Betula nigra,Gavin Munson
25-11,,28v2025,"USA: IA, Clinton Co., Clinton","41.81919, -90.23940",Betula nigra,Gavin Munson
25-12,,28v2025,"USA: IA, Clinton Co., Clinton","41.83376, -90.21831",Betula nigra,Gavin Munson
25-13,,28v2025,"USA: IA, Clinton Co., Clinton","41.83940, -90.21379",Betula nigra,Gavin Munson
25-14,,28v2025,"USA: IA, Clinton Co., Clinton","41.85608, -90.22165",Betula nigra,Gavin Munson
25-15,,28v2025,"USA: IA, Clinton Co., Clinton","41.85515, -90.22050",Betula nigra,Gavin Munson
25-16,,28v2025,"USA: IL, Whiteside Co., Fulton","41.86311, -90.16923",Betula nigra,Gavin Munson
25-17,,28v2025,"USA: IL, Carroll Co., Mount Carroll","42.09834, -89.98149",Betula nigra,Gavin Munson
25-18,,28v2025,"USA: IL, Carroll Co., Mount Carroll","42.09907, -89.98392",Betula nigra,Gavin Munson
25-19,,28v2025,"USA: IL, Carroll Co., Sentinel Trail","42.12959, -90.15819",Betula papyrifera,Gavin Munson
25-20,,28v2025,"USA: IL, Carroll Co., Sentinel Trail","42.12690, -90.15611",Betula nigra,Gavin Munson
25-21,,28v2025,"USA: IL, Carroll Co., Sentinel Trail","42.12588, -90.15651",Betula papyrifera,Gavin Munson
25-22,,29v2025,"USA: IA, Dubuque Co., Horseshoe Bluff Trail","42.46336, -90.63638",Betula papyrifera,Gavin Munson
25-23,,29v2025,"USA: IA, Dubuque Co., Horseshoe Bluff Trail","42.46314, -90.63663",Betula papyrifera,Gavin Munson
25-24,,29v2025,"USA: IA, Dubuque Co., Horseshoe Bluff Trail","42.46360, -90.63718",Betula papyrifera,Gavin Munson
25-25,,29v2025,"USA: IA, Dubuque Co., Horseshoe Bluff Trail","42.46116, -90.63582",Betula papyrifera,Gavin Munson
25-27,,29v2025,"USA: IA, Dubuque Co., Dubuque","42.51785, -90.70743",Betula nigra,Gavin Munson
25-29,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.05430, -89.45027",Betula nigra,Gavin Munson
25-30,,31v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.05550, -89.49607",Betula populifolia,Gavin Munson
25-31,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.04272, -89.42690",Betula nigra,Gavin Munson
25-32,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.04215, -89.43123",Betula populifolia,Gavin Munson
25-33,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.04278, -89.42632",Betula 'Crimson Frost',Gavin Munson
25-34,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.04281, -89.42710",Betula populifolia,Gavin Munson
