Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
23-24,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-26,PX844247,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-28,PX844250,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-30,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26376, -77.28477",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-32,PX844252,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26375, -77.28474",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-33,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26397, -77.28464",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-34,PX844251,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-36,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-37,PX844254,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-38,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26376, -77.28477",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-39,PX844249,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82460, -77.15535",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-43,PX844253,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82440, -77.15932",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-44,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82440, -77.15932",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-45,,10viii2023,"USA: DC, US National Arboretum","38.91346, -76.95716",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-46,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82428, -77.15875",Hamamelis ovalis,"Gavin Munson, Carol von Dohlen"
23-47,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82428, -77.15875",Hamamelis ovalis,"Gavin Munson, Carol von Dohlen"
23-48,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82428, -77.15875",Hamamelis ovalis,"Gavin Munson, Carol von Dohlen"
23-50,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82428, -77.15875",Hamamelis ovalis,"Gavin Munson, Carol von Dohlen"
23-51,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82428, -77.15875+E71",Hamamelis ovalis,"Gavin Munson, Carol von Dohlen"
23-52,,10viii2023,"USA: DC, US National Arboretum","38.90932, -76.97316",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-53,,10viii2023,"USA: DC, US National Arboretum","38.90778, -76.97731",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-54,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82420, -77.15853",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-55,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82420, -77.15853",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-59,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82420, -77.15853",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-61,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82501, -77.15772",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-62,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82501, -77.15762",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-63,,11viii2023,"USA: VA, Alexandria, Green Spring Gardens","38.82501, -77.15762",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-81,,10viii2023,"USA: DC, US National Arboretum","38.91179, -76.96951",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-82,,10viii2023,"USA: DC, US National Arboretum","38.91179, -76.96951",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-83,,10viii2023,"USA: DC, US National Arboretum","38.91179, -76.96951",Hamamelis vernalis,"Gavin Munson, Carol von Dohlen"
23-88,,10viii2023,"USA: DC, US National Arboretum","38.91346, -76.95716",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-89,,10viii2023,"USA: DC, US National Arboretum","38.91408, -76.95679",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-90,,10viii2023,"USA: DC, US National Arboretum","38.91408, -76.95679",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-91,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26312, -77.28485",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
